"Agricultural Wage Rates of Farm Workers by Type of Wages, Type of Farm Workers, Geolocation, Year and Sex"

"Type of Wages","Type of Farm Workers","Geolocation","1975 ..Male","1975 ..Female","1976 ..Male","1976 ..Female","1977 ..Male","1977 ..Female","1978 ..Male","1978 ..Female","1979 ..Male","1979 ..Female","1980 ..Male","1980 ..Female","1981 ..Male","1981 ..Female","1982 ..Male","1982 ..Female","1983 ..Male","1983 ..Female","1984 ..Male","1984 ..Female","1985 ..Male","1985 ..Female","1986 ..Male","1986 ..Female","1987 ..Male","1987 ..Female","1988 ..Male","1988 ..Female","1989 ..Male","1989 ..Female","1990 ..Male","1990 ..Female","1991 ..Male","1991 ..Female","1992 ..Male","1992 ..Female","1993 ..Male","1993 ..Female","1994 ..Male","1994 ..Female","1995 ..Male","1995 ..Female","1996 ..Male","1996 ..Female","1997 ..Male","1997 ..Female","1998 ..Male","1998 ..Female","1999 ..Male","1999 ..Female","2000 ..Male","2000 ..Female","2001 ..Male","2001 ..Female","2002 ..Male","2002 ..Female","2003 ..Male","2003 ..Female","2004 ..Male","2004 ..Female","2005 ..Male","2005 ..Female","2006 ..Male","2006 ..Female","2007 ..Male","2007 ..Female","2008 ..Male","2008 ..Female","2009 ..Male","2009 ..Female","2010 ..Male","2010 ..Female","2011 ..Male","2011 ..Female","2012 ..Male","2012 ..Female","2013 ..Male","2013 ..Female","2014 ..Male","2014 ..Female","2015 ..Male","2015 ..Female","2016 ..Male","2016 ..Female","2017 ..Male","2017 ..Female","2018 ..Male","2018 ..Female","2019 ..Male","2019 ..Female"
"Real Wage Rate","..Coconut Workers","..Region XI (Davao Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,128.34,99.24,117.54,106.46,111.06,104.96,107.12,99.26,107.68,100.69,106.69,101.22,100.25,93.98,96.90,90.19,93.65,92.97,98.69,98.16,143.04,130.20,179.07,158.72,163.29,149.02,171.63,153.91,172.45,161.47,235.57,236.38,253.33,315.89,277.94,347.57
"Real Wage Rate","..Coconut Workers","..Central Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,115.60,115.72,120.81,110.67,110.50,116.34,144.54,111.15,133.68,94.14,132.08,89.92,109.35,96.78,108.04,90.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Coconut Workers","..Region XII (SOCCSKSARGEN)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,156.52,112.46,132.61,116.07,132.77,117.73,132.28,118.93,127.09,120.40,126.94,126.06,118.51,116.00,114.09,111.82,112.54,109.37,113.81,108.60,148.42,138.91,143.95,141.64,133.87,140.37,137.92,150.05,138.60,150.07,227.02,224.07,217.55,211.80,226.48,231.41
"Real Wage Rate","..Coconut Workers","..Region XIII (Caraga)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,118.05,..,116.28,..,136.19,..,137.80,..,135.64,..,147.70,..,150.34,..,148.57,..,151.38,..,151.89,..,144.27,141.27,138.37,..,132.89,..,146.26,..,131.17,..,125.93,..,121.53,..,124.17,..,170.54,146.43,174.19,171.49,171.35,165.74,183.19,172.20,189.43,173.96,321.87,202.63,318.97,229.98,313.32,309.29
"Real Wage Rate","..Coconut Workers","..Autonomous Region in Muslim Mindanao (ARMM)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,129.73,..,120.11,124.17,121.10,103.48,127.12,101.41,120.80,95.28,140.10,98.10,136.04,119.22,131.33,110.29,122.52,109.64,114.81,109.64,110.57,109.60,102.68,..,97.45,88.74,93.27,93.18,90.50,89.54,133.03,126.04,138.01,..,125.68,..,135.84,..,139.67,124.22,211.92,172.86,276.64,231.73,274.59,..
"Real Wage Rate","..Sugarcane Workers","..Cordillera Administrative Region (CAR)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Sugarcane Workers","..Region I (Ilocos Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,110.46,..,128.12,133.33,129.02,141.56,150.81,..,138.92,..,134.00,..,197.73,..,137.88,..,138.70,..,148.56,..,137.96,..,146.21,..,138.99,..,158.71,..,161.78,..,159.49,..,156.07,..,152.97,..,210.72,..,244.98,..,230.43,188.98,243.54,..,244.07,245.06,372.80,..,289.79,301.72,296.85,..
"Real Wage Rate","..Sugarcane Workers","..Region II (Cagayan Valley)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,139.87,101.68,133.93,111.41,149.42,128.89,140.08,128.12,126.79,119.01,126.31,125.04,151.98,131.27,166.54,133.08,160.11,128.88,151.42,142.76,148.23,144.83,137.36,136.82,132.08,130.61,128.86,127.92,125.84,124.91,179.22,166.96,182.61,180.20,168.02,165.01,177.38,173.55,178.66,175.84,223.58,229.10,233.45,227.49,266.05,254.80
"Real Wage Rate","..Sugarcane Workers","..Region III (Central Luzon)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,133.23,100.21,143.08,111.75,140.57,112.01,145.30,140.60,136.85,138.69,135.18,167.34,161.85,137.20,153.09,116.26,152.30,120.44,161.81,141.20,177.64,147.07,175.27,147.30,166.22,147.52,163.60,145.47,148.50,138.51,160.47,158.07,155.58,153.85,152.09,150.22,220.11,200.76,224.14,196.95,216.75,189.25,226.91,196.13,228.21,223.02,246.41,314.05,275.63,261.74,278.91,271.53
"Real Wage Rate","..Sugarcane Workers","..Southern Tagalog",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,134.43,130.99,147.93,137.58,148.91,154.99,155.65,177.24,169.37,..,199.71,..,206.42,212.72,156.12,130.27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Sugarcane Workers","..Region IV-A (CALABARZON)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,157.45,132.89,154.32,143.96,161.58,143.01,170.81,153.27,162.32,156.00,158.46,152.41,146.95,141.92,143.80,141.45,138.85,..,136.02,..,176.81,182.90,217.59,196.13,207.81,192.93,216.96,202.00,217.78,212.92,280.07,300.29,224.74,223.68,288.31,277.42
"Real Wage Rate","..Sugarcane Workers","..MIMAROPA Region",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Sugarcane Workers","..Region V (Bicol Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,122.02,102.94,127.02,112.48,124.84,106.40,129.29,149.33,124.03,146.55,146.19,141.93,128.74,..,124.01,..,126.60,119.61,122.75,109.02,120.47,115.20,123.85,110.80,119.08,110.54,119.54,112.64,109.42,..,104.84,..,107.22,86.55,107.45,..,138.16,..,154.20,..,151.95,..,160.98,143.31,162.87,161.64,218.65,209.61,220.92,210.20,243.90,220.68
"Real Wage Rate","..Sugarcane Workers","..Region VI (Western Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,113.03,96.95,120.89,99.13,123.01,98.46,121.74,102.62,143.26,109.11,166.95,124.69,156.53,127.04,153.46,126.53,154.85,106.93,140.97,115.01,128.34,117.60,140.51,115.46,135.30,129.66,137.30,113.66,126.05,113.36,119.60,111.70,116.53,108.69,115.88,102.10,162.49,140.86,168.93,140.88,155.41,131.57,169.00,143.03,170.90,164.95,206.13,182.37,235.23,209.13,247.51,260.91
"Real Wage Rate","..Sugarcane Workers","..Region VII (Central Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,115.80,101.46,117.72,100.52,115.97,96.69,118.62,97.73,116.61,109.89,136.60,134.81,135.03,119.85,128.42,112.42,125.47,109.30,120.74,97.21,109.05,101.98,120.95,94.70,114.78,102.85,113.72,92.89,104.44,84.55,102.28,83.17,102.63,80.72,112.62,95.16,167.97,137.03,164.83,134.25,159.47,135.93,164.57,139.77,164.71,141.60,211.78,210.72,218.53,211.43,228.28,212.76
"Real Wage Rate","..Sugarcane Workers","..Region VIII (Eastern Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,114.76,106.81,127.09,121.56,129.09,126.16,130.95,125.45,125.70,..,143.29,111.73,157.77,142.71,152.99,126.55,143.60,123.91,136.08,129.44,136.00,129.60,138.28,123.16,130.86,126.24,127.08,123.49,112.09,108.97,107.33,105.68,105.62,102.77,108.54,106.52,144.48,137.12,163.94,136.11,156.16,140.30,164.33,147.36,164.37,154.42,220.99,..,207.29,218.00,235.84,222.06
"Real Wage Rate","..Sugarcane Workers","..Western Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Sugarcane Workers","..Region IX (Zamboanga Peninsula)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Sugarcane Workers","..Region X (Northern Mindanao)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,120.01,75.21,126.40,81.91,131.29,99.37,143.80,100.00,135.58,98.96,123.30,97.81,121.01,112.64,124.65,111.10,125.83,102.52,119.20,105.46,115.62,101.60,106.79,93.88,100.95,91.21,98.28,85.02,100.37,91.48,137.77,118.13,133.15,122.89,147.87,117.51,152.44,122.69,154.42,136.17,202.00,215.69,242.28,167.12,235.21,228.74
"Real Wage Rate","..Sugarcane Workers","..Southern Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,112.91,88.88,120.38,106.54,126.51,106.77,121.68,103.96,123.74,109.86,121.08,135.39,137.90,130.94,153.15,128.63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Sugarcane Workers","..Region XI (Davao Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,146.84,143.80,143.14,141.05,140.58,134.21,151.93,128.14,144.04,127.33,144.50,122.69,133.33,115.53,125.20,111.32,120.67,97.37,120.11,111.20,159.43,144.38,171.04,147.14,169.91,161.45,176.97,168.15,179.34,168.76,289.39,197.17,307.85,..,317.26,169.97
"Real Wage Rate","..Sugarcane Workers","..Central Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,107.51,97.36,112.12,99.10,112.29,100.26,118.85,97.82,126.85,97.23,146.18,119.59,135.25,115.75,156.12,116.40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Sugarcane Workers","..Region XII (SOCCSKSARGEN)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,152.72,113.19,146.47,130.37,148.08,119.82,138.29,117.31,132.82,119.43,131.50,105.65,119.16,96.52,117.90,97.47,114.45,89.05,111.30,90.75,146.37,131.20,153.09,138.82,153.58,135.48,162.69,143.54,163.39,146.24,218.93,210.15,230.26,223.83,225.34,218.53
"Real Wage Rate","..Sugarcane Workers","..Region XIII (Caraga)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Sugarcane Workers","..Autonomous Region in Muslim Mindanao (ARMM)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
